date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:57:35	43617/43617	---M-Z	200	added ('OK')	text/html	etag:%22aa61-5aabb26d02ac4-gzip%22	http://themetrading.com/html/runaway/template/regular/index-33.html	D:/mes%20templates/portfolio%20arraigner/themetrading.com/html/runaway/template/regular/index-33.html	(from )
14:57:36	0/0	---M--	200	added ('OK')	text/plain	date:Thu,%2015%20Dec%202022%2013:57:34%20GMT	http://themetrading.com/robots.txt		(from )
14:57:39	153182/153182	---M--	200	added ('OK')	text/css	etag:%222565e-5aabb2aca33cc%22	http://themetrading.com/html/runaway/template/regular/css/bootstrap.min.css	D:/mes%20templates/portfolio%20arraigner/themetrading.com/html/runaway/template/regular/css/bootstrap.min.css	(from http://themetrading.com/html/runaway/template/regular/index-33.html)
14:57:40	31000/31000	---M--	200	added ('OK')	text/css	etag:%227918-5aabb2af15386%22	http://themetrading.com/html/runaway/template/regular/css/font-awesome.min.css	D:/mes%20templates/portfolio%20arraigner/themetrading.com/html/runaway/template/regular/css/font-awesome.min.css	(from http://themetrading.com/html/runaway/template/regular/index-33.html)
14:57:41	1374/1374	---M--	200	added ('OK')	text/css	etag:%2255e-5aabb2bad3294%22	http://themetrading.com/html/runaway/template/regular/fonts/flaticon.css	D:/mes%20templates/portfolio%20arraigner/themetrading.com/html/runaway/template/regular/fonts/flaticon.css	(from http://themetrading.com/html/runaway/template/regular/index-33.html)
14:57:45	106722/106722	---M--	200	added ('OK')	text/css	etag:%221a0e2-5aabb2b3b6d93%22	http://themetrading.com/html/runaway/template/regular/css/plugins.css	D:/mes%20templates/portfolio%20arraigner/themetrading.com/html/runaway/template/regular/css/plugins.css	(from http://themetrading.com/html/runaway/template/regular/index-33.html)
14:57:46	59031/59031	---M--	200	added ('OK')	text/css	etag:%22e697-5aabb2b61aa97%22	http://themetrading.com/html/runaway/template/regular/css/style.css	D:/mes%20templates/portfolio%20arraigner/themetrading.com/html/runaway/template/regular/css/style.css	(from http://themetrading.com/html/runaway/template/regular/index-33.html)
14:57:48	6797/6797	---M--	200	added ('OK')	text/css	etag:%221a8d-5aabb2a982b60%22	http://themetrading.com/html/runaway/template/regular/css/color.css	D:/mes%20templates/portfolio%20arraigner/themetrading.com/html/runaway/template/regular/css/color.css	(from http://themetrading.com/html/runaway/template/regular/index-33.html)
14:57:48	4286/4286	---M--	200	added ('OK')	image/x-icon	etag:%2210be-5aabb2ddf6bdf%22	http://themetrading.com/html/runaway/template/regular/images/favicon.ico	D:/mes%20templates/portfolio%20arraigner/themetrading.com/html/runaway/template/regular/images/favicon.ico	(from http://themetrading.com/html/runaway/template/regular/index-33.html)
14:57:48	761/761	---M--	200	added ('OK')	image/png	etag:%222f9-5aabb3bc22f3f%22	http://themetrading.com/html/runaway/template/regular/images/logo/15.png	D:/mes%20templates/portfolio%20arraigner/themetrading.com/html/runaway/template/regular/images/logo/15.png	(from http://themetrading.com/html/runaway/template/regular/index-33.html)
14:57:49	759/759	---M--	200	added ('OK')	image/png	etag:%222f7-5aabb3bc4bf79%22	http://themetrading.com/html/runaway/template/regular/images/logo/16.png	D:/mes%20templates/portfolio%20arraigner/themetrading.com/html/runaway/template/regular/images/logo/16.png	(from http://themetrading.com/html/runaway/template/regular/index-33.html)
14:57:49	755/755	---M--	200	added ('OK')	image/png	etag:%222f3-5aabb3be9bc53%22	http://themetrading.com/html/runaway/template/regular/images/logo/17.png	D:/mes%20templates/portfolio%20arraigner/themetrading.com/html/runaway/template/regular/images/logo/17.png	(from http://themetrading.com/html/runaway/template/regular/index-33.html)
14:57:49	755/755	---M--	200	added ('OK')	image/png	etag:%222f3-5aabb3bedea99%22	http://themetrading.com/html/runaway/template/regular/images/logo/18.png	D:/mes%20templates/portfolio%20arraigner/themetrading.com/html/runaway/template/regular/images/logo/18.png	(from http://themetrading.com/html/runaway/template/regular/index-33.html)
14:57:50	763/763	---M--	200	added ('OK')	image/png	etag:%222fb-5aabb3bfa9c73%22	http://themetrading.com/html/runaway/template/regular/images/logo/19.png	D:/mes%20templates/portfolio%20arraigner/themetrading.com/html/runaway/template/regular/images/logo/19.png	(from http://themetrading.com/html/runaway/template/regular/index-33.html)
14:57:50	747/747	---M--	200	added ('OK')	image/png	etag:%222eb-5aabb3c2369dd%22	http://themetrading.com/html/runaway/template/regular/images/logo/20.png	D:/mes%20templates/portfolio%20arraigner/themetrading.com/html/runaway/template/regular/images/logo/20.png	(from http://themetrading.com/html/runaway/template/regular/index-33.html)
14:57:51	741/741	---M--	200	added ('OK')	image/png	etag:%222e5-5aabb3c41908e%22	http://themetrading.com/html/runaway/template/regular/images/logo/21.png	D:/mes%20templates/portfolio%20arraigner/themetrading.com/html/runaway/template/regular/images/logo/21.png	(from http://themetrading.com/html/runaway/template/regular/index-33.html)
14:57:51	759/759	---M--	200	added ('OK')	image/png	etag:%222f7-5aabb3c531cb1%22	http://themetrading.com/html/runaway/template/regular/images/logo/22.png	D:/mes%20templates/portfolio%20arraigner/themetrading.com/html/runaway/template/regular/images/logo/22.png	(from http://themetrading.com/html/runaway/template/regular/index-33.html)
14:57:51	762/762	---M--	200	added ('OK')	image/png	etag:%222fa-5aabb3c5d1750%22	http://themetrading.com/html/runaway/template/regular/images/logo/23.png	D:/mes%20templates/portfolio%20arraigner/themetrading.com/html/runaway/template/regular/images/logo/23.png	(from http://themetrading.com/html/runaway/template/regular/index-33.html)
14:57:52	757/757	---M--	200	added ('OK')	image/png	etag:%222f5-5aabb3c747ba3%22	http://themetrading.com/html/runaway/template/regular/images/logo/24.png	D:/mes%20templates/portfolio%20arraigner/themetrading.com/html/runaway/template/regular/images/logo/24.png	(from http://themetrading.com/html/runaway/template/regular/index-33.html)
